dream,archetype
"The dream was that a significantly older man was chasing after me and wanted to perform unwanted sexual acts on me. It was quite disturbing. On Friday night though, as I was running away, I moved into another dream where I was running down a stone cavernous hallway. I'm running away from something but I'm not sure what. I keep coming to wooden doors with ironwork designs on them and unlocking them with my old fashioned, black iron key. From around the right corner, before I run to each door, there is a woman with dark hair and eyes in a pink dress towing a mule on a rope. She walks around the corner before I run down the hallway where each door is so I see her 3 or 4 times as if I'm running down the same hallways again 4 times. I never look to see if she is coming from somewhere so I don't know if there is actually a corridor she's coming from. Eventually, I run through one of the doors and there was a white field. I hear a voice behind me and it's a futuristic-looking boy of about 18 (picture cyberpunk goggles and dystopian future-looking clothing). He says something and before I can hear it, I realize I'm dreaming, wake up and I ask him, ""What are you doing here? Who are you? Why am I having this dream and what and I supposed to learn?"" He smiles coyly and says I can only learn that if I promise I'm still dreaming. I say yes and he leads me back around to where I previously saw the next wooden door in the fully white field, but now there is cobblestone and an old town. I've been here before but only during summer when he place looked like a mystical campground. Now it looks dark, cold and snowy. All the people are silhouettes and faceless. The boy leads me around the block and speaks but I can't really hear him. I'm more focused on the silhouette people (if you've seen inception, the people moved in a similar way except they were only shadows). There was also nobody in the houses. As we round the second last corner of the block, I tell the boy I changed my mind and that I want to go through the wooden door instead. He asks if I'm sure and when I say yes, I suddenly become quite cartoonish and dive through the wooden door like a superhero. My brother and I not fly through space as I chose the video game as if we are at a starting screen. I choose a game called SMASH and play as a miniature gorilla with veins all over its body except this character is MY body in the same way that Ready Player One works. I win enough fights that I get chosen as a champion for the last round where I fight against a blue zombie girl who rips my nervous system out of my body with her tongue and my fiance catches me and tells me it's okay and that my real-life body won't be affected, but I was terrified I would be horribly injured in real life.",everyman
"I was walking down a well worn road in the forest with a preacher I had frequently listened to in my youth.(was formerly very religious) The man was passionately defending the sincerity of his religious convictions in light of adopting more progressive religious views(theistic evolution). We then somehow climbed a boulder and sat on the top. The man tearfully explained the core of his religious convictions: ""the light of Christ in him"". I assured him that despite our religious disagreements, his passionate faith in Christ was evident. The man then started to slip down the boulder, and I grabbed him. I had a sense that he didn't want to be rescued, and indeed, he eventually fell. I also had a strong sense that my mother was almost comatosely observing the struggle. That added to my motivation to not let the man fall. When he did, my first instinct was to grab help, but, figured to check on him. I check on my mother first, to see how the scene had affected her. She was not there, only a pile of dirty moss. I called and called, but got no answer.",everyman
"I dreamt that I was in a seaside town somewhere. I was actually going to see someone. Someone who was popular on tv and was able to keep the magic of childhood alive for many people (still doing it today). I stopped outside a house which was next to a beach. It wasn’t a flashy beach house but it had a homey cosy look and feel to it. This man came out, and I asked for the person in question I was looking for, and I was told I was at the right place and to go in. There I met the person I was looking for. And he was actually really nice and friendly and chatty. He showed me around the house and he took me to one room, and I saw the most amazing collection of memorabilia of this tv childhood. ;  Background_Info: I have met the person from the dream a couple of times in real life, and he is a great person and very friendly. ;  Wakeup_State: __ ###",everyman
"In my dream last night, I was back in school and trying to fit studying for exams into my work schedule for next week. As my literature class is starting, I turn over or open my books so that the titles of their fronts are not visible to the teacher. She is a youngish woman dressed in flowing black clothing. She looks down at my books, noticing a black and white photo and a headline concerning esotericism and the arts. She smiles slightly and as she starts the lesson, she asks me if I can name a 19th century writer heavily inspired by the occult",everyman
"First, a scene involving a pedal bike, in working order though slightly haphazard condition, the chain nearly came off but didn't, oil was needed, vegetable oil was suggested. Next, my dad was fiddling with a newly rewired, large electrical box he'd constructed. I made a statement of it being 'the most complex for a simple operation', my dad replied that it was all good except 'occasionally doesn't work' at all. This I think was set in my childhood home, which has a workshop/studio room. Either my dad or myself commented on a cover of a plug socket being rather dirty, but on closer inspection the clear plastic cover which was semi translucent wasn't because it was dirty, but because it was the type of plastic which was glow in the dark when charged up by placing it near light first. For a good deal of time I was wandering around trying to find a light bulb to hold this piece of plastic near to see it glow, I never was able to find one. As I did, the small workshop room became a vast room the size of a large field with many people spread around the far perimeters engaged in a variety of very different activities. Next scene, I'm at a table, outside somewhere else, with my mum and several others sat around it. My mouth feels uncomfortable and I retrieve a selection of small brown beads threaded onto on strings from my mouth. My mum makes jewelry in real life, though unlike these beads, I say 'i haven't even seen these ones before'. A sour faced woman appeared and takes her place where I was sitting, I make a joking comment to the effect of it being okay for me to have stolen her place. She sits down, I stand beside the table. I look off to the side and see through the hedge a set of decorative stone stairs which look like an ancient oriental entrance to a temple. Then an oriental spiritual master of some sort with a dead pan expression arrives at the table and sits at the head. Then, outside again, in some different place, a town in England.. I look at a wall leading along the side of an alley which led to an opening to a street below, it has a sign pinned on part of it with some words I forget now. As I look at it it was like a sped up timelapse occurred and the sign weathered away, deteriorated, became illegible and disappeared. The passageway beside that wall then got covered over by buildings, I sensed the route/passage had been moved to the right somewhat, like I'd witnessed the development of a town layout change over time. I then find myself stood nearby beside my sister, still atop the slight hill in a town, I was standing in a slightly puffed up imposing way, again aware of beads in my mouth, fetching a few more up. Some people walked by, I recognised the voice of a rapper who I listened to years ago, he was rhyming aloud, I felt my mood change from my fake imposing demeanor to a happy interested one, the rapper walked on around the corner, and one of his crew, a tall guy said I should call him and get in touch.",jester
"We were in a car my wife and I, she was driving. We were driving over a bridge and suddenly saw a tornado through the side mirror. The tornado caught up to us and was on the side of the car. It had lightning inside flashing randomly. Tornado move slightly left & right but never touch the car or hurts us, was going on the side for about 5 minutes. Was about to record it with my phone than it suddenly disappeared.",everyman
"I travel to my grandma's friends house. We get the house tour then my grandma and her friend leave, grandpa takes a nap and I'm stuck on the couch with only a recorded sports show that works and their cats near me. They never state they have a son that lives with them but I eventually enter the upstairs looking for someone to help me shut the show off and I find their son my age. We start talking and making out then we have sex til his mom catches us then he brings girls over and it flashes to me being a ghost stuck in the house watching him be with girl after girl while I'm stuck watching the same recorded episode and ""petting"" the cats and me scaring the girls he brings home. But it never shows why I'm a ghost. ;  Background_Info: I have this dream every year and I don't understand it. ;  Wakeup_State: __ ###",jester
"Im inside my house and I see masked figures outside slamming into the windows of my house. Over and over again. I was so mad a found a large stick/staff and went outside to find them hiding around the side of my house. It was an inspector I sometimes use (who I get along great with) and a few others I did not recognize. I was very dissatisfied and upset and threatened to hurt them and they left after I shared my distaste. The next day I was in my living room and noticed water damage coming through all of the walls/ceiling (some context last year we had some water leaks and it left our house cut open for the better part of 8 months waiting for contractors that in itself was a nightmare) as I looked closer at the walls I noticed they almost looked like they were molding or looked very old and cracking with scars on the walls, I looked up to the top left and there was a large, almost demonic alien full head/face imprinted in the wall, like as if the face was inside the wall pushing out. It had a very large cranium and smaller mouth comparable to an alien, this shit was scary looking. To my wife I said wtf is that! I then noticed halloweeny decorations all around the house and at that point I lost it and said babe did you put these decorations up?? She said no. All of a sudden a giant owl flew smacking straight into the window glass with force, I immediately ran outside to find I was in a cul de sac and the owl was hanging in front of the window connected to a long clothes line that was attached to a home across the street. I was so pissed and as I walk up to the house, the same people from the dream before came out with masks holding swords and approached me, I was able to disarm a sword from one of the three men, this time I didn’t recognize any of them. I realized the swords were wooden, then I remember waking myself up yelling we need to lock the doors. ;  Background_Info: This is two separate dreams, 2 days in a row. ;  Wakeup_State: __ ###",jester
"Last night I dreamt that he was back, I was a kid again, and all my family was together looking for a house and trying to start “a new life”, everything was the way it was before he died. All my family, brother, mom, dad, grandpa and grandpa, aunts etc was sitting around a table, eating dinner. Then I “woke up”, and I was all alone by the table. So I woke up from a dream, in my dream. And I started crying and looking for my family, and I said over and over “it’s too much, I can’t take this anymore”. ;  Background_Info:  I have had so many sad dreams for about a year. Crying and screaming in my sleep, + it freaks my bf out. My dad committed suicide 12 years ago, I was 11 at the time. I had a tough time dealing with it for many years, but I’ve been working on letting go and move on for about 3 years. The dreams are very different, but it’s always the same pattern: my dad comes back for a day, week, month, and he totally ignores me. I try to talk to him but he just pushed me away and talk to everyone else. Then when it’s time for him to go back to “heaven” (I’m not a religious person), he tells me he loves me and misses me, and that I have to move on. And then I scream and cry and wake up crying. ;  Wakeup_State:  and then I woke up crying. It feels like the more I’m working on moving on from my past, my dreams about family and dad gets worse. I don’t know what to do or what it means. Have anyone experienced something like this or know what it means? ###",everyman
"I walk into my house, to numerous cat poops on the floor, but they are all on fire. (Orange flames) But instead of putting out the fire, I walk past. I realize that there are also cat toys on fire too. There are two kittens, but it seems that everything they touch is becoming enflamed. One of the cats bats a toy my way and suddenly it’s on fire. One of the cats is playing under a coffee table and the toy/carpet is on fire so much it singes her fur! I grab the cat and cry because she’s singed but it doesn’t seem hurt then. I tell the other person the cats are setting things on fire, as they seem unaware. They snap back at me and then me: “it’s YOUR cat setting everything on fire!!!” I quickly realize that somehow they set a couch on fire, mainly the arm of the couch. The foam inside is smoldering. I run to get a bucket, but the first one is broken. The next one is full of dirty water, so I try and flush it down the toilet but it goes everywhere and the bucket proceeds to break too. I run to the kitchen to get a large cup just to slow the smoldering. But the water pressure is low and it’s taking forever. I fill the cup as much as I can and run to extinguish the fire. I keep going back for more water, and eventually find that the foam is smoldering near the floor, so I focus my attention there. Soon the foam reaches the floor/carpet and starts to set it on fire too. Now I’m aiming at the floor, as the smoldering has turned to actual fire. The floor becomes completely engulfed in flames and I can’t do anything except watch the flames crawl across the floor and up the wall.",hero
"In lastnight’s dream, I was in a school bus and the bus kept wanting to tip over, and once it did the windows smashed and I got glass shards all stuck in my face. Another one was of a ship sinking that I was on, but it usually capsizes or starts tipping over first. The stage where said vehicle/area/building begins tipping and swaying usually lasts a long time before it finally collapses. ;  Background_Info: An ongoing theme I’ve been noticing lately in my nightmares: vertigo.  As in, if I’m standing in a tall building, the building starts swaying back and forth and feels like it’s gonna collapse. And I become really dizzy/disoriented/afraid.  ;  Wakeup_State: __ ###",everyman
"I was in a dim indoor setting, with Indian decor. An Indian woman in traditional clothing was beside me. She held a candle and placed it on a table nearby. She handed me a candle, but I think I struggled a little to place it where I intended, on the table, she may have then handed me another, repeating this part... I moved into a side corridor, and a moment later, I was looking down from above at a small seeming elephant. There was another creature, almost as large, the elephant was over the top of it. The other creature was strange, it was white and appeared to have several legs, which were like large white upturned claws, like a huge claw-legged spider type creature on its back. The elephant stood over it, and crouched down with the other creature beneath it, as though it were gathering it, hugging it, enclosing it, bound within it's four legs. I saw a couple of the white claws that had found a gap between the elephants legs, and were extending reaching out and around the elephants back, the rest of the white clawed creature was obscured underneath the elephants body, with the elephants 4 legs confining the creature between them. Though the claws of the creature looked dangerous, it didn't harm the elephant. As the elephant then walked away, a few small illuminated spots of neon colour glowed briefly on the elephants body, as though the elephant had attained some special quality by doing so. I was then at ground level looking toward the now large elephant walking towards me, slightly worried for a moment, then not, I realised the elephant wasn't a threat to me.",everyman
"i dreamed last night of being in a residential neighborhood and seeing a yellow dog. hanging out near me. it was some kind of an exotic variety. after that, I saw a lioness or some kind of large fenine. It came up to me. Me hand was in it's mouth and it was biting down. I understood that it was not to hurt me,. this was affectionate, so I sort of ""snuggled"" with it. In the dream, during this, I was thinking of when i grew up with house cat from my childhood that used to play-bite. I was vaguely conscious of other people watching this and i had communicated to them that the animal was only playing. While the feline tightened it's clamp on my hand/arm, though still not hurting, i still had the sense that thise thing could really do some damage on a whim, while I continued to snuggle.",everyman
"I had my cousin round (uncles daughter) my home and what I believe must be her new boyfriend. I knew it was a male that was with her but didn’t see his face. Then there was a knock at the door so I’ve gone to open it and a older man has barged past me and gone straight into my front room. I’ve followed to 1- see who they are and 2- see what on earth there doing. It’s my uncle who abused me going to talk to his daughter, he was shouting a lot but I couldn’t understand what about. He was trying to get her to leave with him but she started crying and ran out the house and the male ran out after her. This left me and my uncle alone. He started having ago at me and how I sent him down after he begged me not to and that he would of just left and not spoke to me again. I tried to get run out and got to the hallway but he grabbed me by my arm and pushed me into my bedroom. He pushed me onto the bed and then he had a saw just waving it about. He was muttering and pacing back and forth in front of the door. There was a bang by the front door opening and then a gun shot and then I woke up. ;  Background_Info: I was sexually abused by my uncle back in 2011 he served time in prison and was released by 2015. Never heard from him since, neither has anyone in the family. Not had a bad dream or flashback etc since then either. ;  Wakeup_State: I woke suddenly at around 3:30 from a horrible dream. It’s really triggered me. ###",rebel
At first me and my partner were making love for a very long time. I remember crossing many check boxes on a paper we had written. It was important and precise. A little later a bee came on my neck. It was unbearably ticklish and I had trouble keeping still and fell to the floor. I shouted please lift it off of me otherwise my reflexes will take over. I would rather it got moved peacefully so that it could survive and I wouldn't get a sting. It crawled up and down on my throat like it was it's favourite spot in the world.,lover
This mornings dream I was sitting across from this person and I had someone sitting next me..I began by showing her my rash on my legs and i remember telling her that big salty ocean out there heals everything..i remember pointing it out to her..she agreed it heals everything. I know there was someone sitting next to me but I cant quite see them. ;  Background_Info: I have had this bodily rash for many months.. ;  Wakeup_State: __ ###,everyman
